=== HFT System Monitor ===
[21:44:21] CPU: 0.0% | MEM: Used: 566MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 530292
[21:44:23] CPU: 0.0% | MEM: Used: 568MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 530808
[21:44:24] CPU: 0.0% | MEM: Used: 568MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 531366
[21:44:25] CPU: 0.0% | MEM: Used: 567MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 531952
[21:44:26] CPU: 0.0% | MEM: Used: 570MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 532496
[21:44:28] CPU: 0.6% | MEM: Used: 569MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 533055
[21:44:29] CPU: 0.0% | MEM: Used: 569MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 533630
[21:44:30] CPU: 0.0% | MEM: Used: 569MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 534198
[21:44:31] CPU: 0.0% | MEM: Used: 569MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 534742
[21:44:32] CPU: 0.0% | MEM: Used: 571MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 535287
[21:44:34] CPU: 0.0% | MEM: Used: 572MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 535896
[21:44:35] CPU: 0.0% | MEM: Used: 575MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 537102
[21:44:36] CPU: 0.6% | MEM: Used: 575MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 537661
[21:44:37] CPU: 0.6% | MEM: Used: 574MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 538236
[21:44:39] CPU: 0.0% | MEM: Used: 573MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 538794
[21:44:40] CPU: 0.0% | MEM: Used: 571MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 539358
[21:44:41] CPU: 0.0% | MEM: Used: 571MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 539940
[21:44:42] CPU: 0.0% | MEM: Used: 569MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 540482
[21:44:43] CPU: 0.0% | MEM: Used: 568MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 541020
[21:44:45] CPU: 0.0% | MEM: Used: 571MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 541629
[21:44:48] CPU: 0.0% | MEM: Used: 568MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 542253
[21:44:49] CPU: 0.0% | MEM: Used: 572MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 542817
[21:44:50] CPU: 0.0% | MEM: Used: 572MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 543334
[21:44:51] CPU: 0.0% | MEM: Used: 573MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 543936
[21:44:53] CPU: 0.0% | MEM: Used: 574MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 544494
[21:44:54] CPU: 0.0% | MEM: Used: 572MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 545044
[21:44:55] CPU: 0.0% | MEM: Used: 572MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 545636
[21:44:56] CPU: 0.0% | MEM: Used: 572MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 546180
[21:44:57] CPU: 0.0% | MEM: Used: 570MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 546732
[21:44:59] CPU: 0.0% | MEM: Used: 570MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 547293
[21:45:00] CPU: 0.0% | MEM: Used: 573MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 547879
[21:45:01] CPU: 0.0% | MEM: Used: 570MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 548427
[21:45:02] CPU: 0.0% | MEM: Used: 570MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 548969
[21:45:04] CPU: 0.0% | MEM: Used: 568MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 549572
[21:45:05] CPU: 0.0% | MEM: Used: 567MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 550142
[21:45:06] CPU: 0.0% | MEM: Used: 568MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 550706
[21:45:07] CPU: 0.0% | MEM: Used: 567MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 551291
[21:45:08] CPU: 0.0% | MEM: Used: 563MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 551836
[21:45:10] CPU: 0.0% | MEM: Used: 566MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 552458
[21:45:11] CPU: 0.6% | MEM: Used: 568MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 553071
[21:45:12] CPU: 0.0% | MEM: Used: 566MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 553634
[21:45:13] CPU: 0.0% | MEM: Used: 569MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 554163
[21:45:15] CPU: 0.0% | MEM: Used: 568MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 554718
[21:45:16] CPU: 0.0% | MEM: Used: 567MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 555301
[21:45:17] CPU: 0.0% | MEM: Used: 568MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 555891
[21:45:18] CPU: 0.0% | MEM: Used: 571MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 556468
[21:45:21] CPU: 0.0% | MEM: Used: 571MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 557091
[21:45:22] CPU: 0.0% | MEM: Used: 572MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 557627
[21:45:23] CPU: 0.0% | MEM: Used: 571MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 558191
[21:45:25] CPU: 0.0% | MEM: Used: 572MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 558788
[21:45:26] CPU: 0.0% | MEM: Used: 572MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 559359
[21:45:27] CPU: 0.0% | MEM: Used: 568MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 559898
[21:45:28] CPU: 0.0% | MEM: Used: 570MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 560484
[21:45:30] CPU: 0.0% | MEM: Used: 568MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 561038
[21:45:31] CPU: 0.0% | MEM: Used: 571MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 561595
[21:45:32] CPU: 0.0% | MEM: Used: 570MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 562149
[21:45:33] CPU: 0.6% | MEM: Used: 569MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 562721
[21:45:35] CPU: 0.0% | MEM: Used: 562MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 563296
[21:45:36] CPU: 0.0% | MEM: Used: 565MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 563858
[21:45:37] CPU: 0.0% | MEM: Used: 565MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 564458
[21:45:38] CPU: 0.0% | MEM: Used: 563MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 565016
[21:45:39] CPU: 0.0% | MEM: Used: 566MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 565555
[21:45:41] CPU: 0.0% | MEM: Used: 566MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 566180
[21:45:42] CPU: 0.0% | MEM: Used: 564MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 566714
[21:45:43] CPU: 0.0% | MEM: Used: 567MB / Total: 15954MB (4%) | NET IRQ:  | CTX: 567266
